X,Y,OBJECTID,ACCIDENT_N,ACCIDENT_D,ACC_TIME,NO_VEHICLE,ACCIDENT_T,ACC_T_DESC,ABS_CODE,PERSON_ID,AGE,RD_USER_T,RD_U_DESC,SEX,LOCATION_D,NODE_ID,LOCATION_T,NODE_TYPE,N_TYPE_DES,ROAD_ROUTE,RD_NAME_1,RD_TYPE_1,RD_NAME_2,RD_TYPE_2,DEC_RD_DES,LGA_NAME,REGION_NAM,STAT_DIV_N,AMG_X,AMG_Y
2483104.892,2409823.675,253,T20160013231,2016/06/16 00:00:00+00,06.:1.00,6,1,Collision with vehicle,A,B,59,2,Drivers,F,On WESTERN RING ROAD(R) 171m S from Int WESTERN RING IN-BOUNDARY RAMP OF,305381,N,N,Non Intersection,2900,WESTERN RING,ROAD,WESTERN RING IN-BOUNDARY OF,RAMP,Declared Road,BRIMBANK,METROPOLITAN NORTH WEST REGION,Melbourne - West,2483104.892,2409823.675
2505891.045,2391554.786,254,T20160013427,2016/06/18 00:00:00+00,21.:2.00,1,4,Collision with a fixed object,A,A,70,2,Drivers,M,At Int of NEPEAN HIGHWAY and NEPEAN HIGHWAY SERVICE ROAD REV,264300,I,I,Intersection,2660,NEPEAN,HIGHWAY,NEPEAN REV,HIGHWAY SERVICE ROAD,Declared Road,KINGSTON,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner South,2505891.045,2391554.786
2547857.493,2424627.117,255,T20160013492,2016/06/20 00:00:00+00,05.:0.00,1,4,Collision with a fixed object,A,A,41,2,Drivers,M,On DON ROAD 89m NW from Int CHALET ROAD,304963,N,N,Non Intersection,5521,DON,ROAD,CHALET,ROAD,Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2547857.493,2424627.117
2466075.591,2402918.634,256,T20160013560,2016/06/20 00:00:00+00,16.:1.00,2,1,Collision with vehicle,A,A,86,2,Drivers,M,On BALLAN ROAD 182m NW from Int WOLLAHRA RISE,304984,N,N,Non Intersection,5588,BALLAN,ROAD,WOLLAHRA,RISE,Declared Road,WYNDHAM,METROPOLITAN NORTH WEST REGION,Melbourne - West,2466075.591,2402918.634
2484177.584,2413853.135,257,T20160013714,2016/06/22 00:00:00+00,17.:5.00,3,1,Collision with vehicle,A,A,47,2,Drivers,F,At Int of BALLARAT ROAD and ADELAIDE STREET,45002,I,I,Intersection,5520,BALLARAT,ROAD,ADELAIDE,STREET,Declared Road,BRIMBANK,METROPOLITAN NORTH WEST REGION,Melbourne - West,2484177.584,2413853.135
2488915.662,2411541.677,258,T20160013798,2016/06/23 00:00:00+00,15.:1.00,3,1,Collision with vehicle,A,A,47,6,Bicyclists,M,On BARKLY STREET 51m W from Int ARGYLE STREET,305032,N,N,Non Intersection,9999,BARKLY,STREET,ARGYLE,STREET,Non Declared Road,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,Melbourne - West,2488915.662,2411541.677
2425917.655,2462393.106,259,T20160013916,2016/06/25 00:00:00+00,07.:4.00,1,5,Collision with some other object,A,01,41,3,Passengers,M,On MIDLAND HIGHWAY 145m SW from Int DAYLESFORD-MALMSBURY ROAD,306103,N,N,Non Intersection,2590,MIDLAND,HIGHWAY,DAYLESFORD-MALMSBURY,ROAD,Declared Road,HEPBURN,WESTERN REGION,Ballarat,2425917.655,2462393.106
2425917.655,2462393.106,260,T20160013916,2016/06/25 00:00:00+00,07.:4.00,1,5,Collision with some other object,A,A,38,2,Drivers,F,On MIDLAND HIGHWAY 145m SW from Int DAYLESFORD-MALMSBURY ROAD,306103,N,N,Non Intersection,2590,MIDLAND,HIGHWAY,DAYLESFORD-MALMSBURY,ROAD,Declared Road,HEPBURN,WESTERN REGION,Ballarat,2425917.655,2462393.106
2667869.12,2570084.667,261,T20160013939,2016/06/25 00:00:00+00,15.:1.00,2,1,Collision with vehicle,A,A,30,2,Drivers,F,On MYRTLEFORD-YACKANDANDAH ROAD 598m S from Int KELLEY LANE,305128,N,N,Non Intersection,5467,MYRTLEFORD-YACKANDANDAH,ROAD,KELLEY,LANE,Declared Road,INDIGO,NORTH EASTERN REGION,Country,2667869.12,2570084.667
2242926.612,2776638.409,262,T20160014068,2016/06/27 00:00:00+00,08.:1.00,1,6,Vehicle overturned (no collision),A,A,44,2,Drivers,M,On CALDER HIGHWAY 791m N from Int KIRBY LANE,305153,N,N,Non Intersection,2530,CALDER,HIGHWAY,KIRBY,LANE,Declared Road,MILDURA,WESTERN REGION,Country,2242926.612,2776638.409
